Phase,Step,Tokens,VRAM_MB
Generate,4,36919,20688.3
Generate,6,36921,20688.4
Generate,8,36923,20688.5
Generate,10,36925,20688.6
Generate,12,36927,20688.8
Generate,14,36929,20688.9
Generate,16,36920,20688.4
Generate,18,36922,20688.5
Generate,20,36924,20688.6
Generate,22,36926,20688.7
Generate,24,36928,20688.8
Generate,26,36930,20688.9
Generate,28,36932,20689.1
Generate,30,36934,20689.2
Generate,32,36936,20689.3
Generate,34,36938,20689.4
Generate,36,36940,20689.5
Generate,38,36942,20689.6
Generate,40,36944,20689.7
Generate,42,36946,20689.8
Generate,44,36948,20689.9
Generate,46,36950,20690.0
Generate,48,36952,20690.1
Generate,50,36954,20690.3
Generate,52,36956,20690.4
Generate,54,36958,20690.5
Generate,56,36960,20690.6
Generate,58,36962,20690.7
Generate,60,36964,20690.8
Generate,62,36966,20690.9
Generate,64,36968,20691.0
Generate,66,36970,20691.1
Generate,68,36972,20691.2
Generate,70,36974,20691.4
Generate,72,36976,20691.5
Generate,74,36978,20691.6
Generate,76,36980,20691.7
Generate,78,36982,20691.8
Generate,80,36984,20691.9
Generate,82,36986,20692.0
Generate,84,36988,20692.1
Generate,86,36990,20692.2
Generate,88,36992,20692.3
Generate,90,36994,20692.4
Generate,92,36996,20692.6
Generate,94,36998,20692.7
Generate,96,37000,20693.7
Generate,98,37002,20693.7
Generate,100,37004,20693.6
Generate,102,37006,20693.6
Generate,104,36924,20688.6
Generate,106,36926,20688.8
Generate,108,36928,20688.9
Generate,110,36930,20689.0
Generate,112,36932,20689.1
Generate,114,36934,20689.2
Generate,116,36936,20689.3
Generate,118,36938,20689.4
Generate,120,36940,20689.5
Generate,122,36942,20689.6
Generate,124,36944,20689.7
Generate,126,36946,20689.8
Generate,128,36948,20690.0
Generate,130,36950,20690.1
Generate,132,36952,20690.2
Generate,134,36954,20690.3
Generate,136,36956,20690.4
Generate,138,36958,20690.5
Generate,140,36960,20690.6
Generate,142,36962,20690.7
Generate,144,36964,20690.8
Generate,146,36966,20690.9
Generate,148,36968,20691.0
Generate,150,36970,20691.2
Generate,152,36972,20691.3
Generate,154,36921,20688.5
Generate,156,36923,20688.6
Generate,158,36925,20688.7
Generate,160,36927,20688.8
Generate,162,36929,20688.9
Generate,164,36931,20689.0
Generate,166,36933,20689.1
Generate,168,36935,20689.2
Generate,170,36937,20689.3
Generate,172,36939,20689.4
Generate,174,36941,20689.6
Generate,176,36943,20689.7
Generate,178,36945,20689.8
Generate,180,36947,20689.9
Generate,182,36949,20690.0
Generate,184,36951,20690.1
